"Year";"Name";"Location";"Country";"Type";"Status";"Volcano Explosivity Index (VEI)"
"1952";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
"1952";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
"1952";"Ambalatungan Group";"Luzon-Philippines";"Philippines";"Compound volcano";"Fumarolic";"1"
"1953";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
"1953";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1953";"Myojun Knoll";"Izu Is-Japan";"Japan";"Submarine volcano";"Holocene";"2"
"1953";"Aso";"Kyushu-Japan";"Japan";"Caldera";"Historical";"2"
"1953";"St. Andrew Strait";"Admiralty Is-SW Paci";"Papua New Guinea";"Complex volcano";"Historical";"0"
"1953";"Sirung";"Lesser Sunda Is";"Indonesia";"Complex volcano";"Historical";"0"
"1953";"Oshima";"Izu Is-Japan";"Japan";"Stratovolcano";"Historical";"1"
"1954";"Stromboli";"Italy";"Italy";"Stratovolcano";"Historical";""
"1954";"Bam";"New Guinea-NE of";"Papua New Guinea";"Stratovolcano";"Historical";"2"
"1954";"Hibok-Hibok";"Mindanao-Philippines";"Philippines";"Stratovolcano";"Historical";""
"1955";"Carran-Los Venados";"Chile-C";"Chile";"Pyroclastic cone";"Historical";"4"
