"Year";"Name";"Location";"Country";"Type";"Status";"Volcano Explosivity Index (VEI)"
"1817";"Raung";"Java";"Indonesia";"Stratovolcano";"Historical";"4"
"1818";"Colima";"Mexico";"Mexico";"Stratovolcano";"Historical";"4"
"1819";"Asuncion";"Mariana Is-C Pacific";"United States";"Stratovolcano";"Historical";""
"1820";"Westdahl";"Aleutian Is";"United States";"Stratovolcano";"Historical";"2"
"1820";"Banda Api";"Banda Sea";"Pacific Ocean";"Caldera";"Historical";"2"
"1822";"Usu";"Hokkaido-Japan";"Japan";"Stratovolcano";"Historical";"4"
"1822";"Galunggung";"Java";"Indonesia";"Stratovolcano";"Historical";"5"
"1822";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1823";"Kilauea";"Hawaiian Is";"United States";"Shield volcano";"Historical";"0"
"1824";"Shishaldin";"Aleutian Is";"United States";"Stratovolcano";"Historical";"3"
"1825";"Balbi";"Bougainville-SW Paci";"Papua New Guinea";"Stratovolcano";"Holocene";""
"1826";"Dieng Volc Complex";"Java";"Indonesia";"Complex volcano";"Historical";"2"
"1826";"Kelut";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1826";"Aso";"Kyushu-Japan";"Japan";"Caldera";"Historical";"2"
"1827";"Avachinsky";"Kamchatka";"Russia";"Stratovolcano";"Historical";"2"
"1827";"Avachinsky";"Kamchatka";"Russia";"Stratovolcano";"Historical";"2"
"1829";"Guntur";"Java";"Indonesia";"Complex volcano";"Historical";"2"
"1832";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";"2"
"1832";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1833";"Kaba";"Sumatra";"Indonesia";"Stratovolcano";"Historical";"2"
"1835";"Cosiguina";"Nicaragua";"Nicaragua";"Stratovolcano";"Historical";"5"
"1835";"Banda Api";"Banda Sea";"Pacific Ocean";"Caldera";"Historical";""
"1837";"Peuet Sague";"Sumatra";"Indonesia";"Complex volcano";"Historical";""
"1838";"Gamalama";"Halmahera-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
"1839";"Unnamed";"Chile-Is";"Chile";"Submarine volcano";"Uncertain";"2"
"1840";"Gamalama";"Halmahera-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
"1840";"Kilauea";"Hawaiian Is";"United States";"Shield volcano";"Historical";"0"
"1840";"Tinakula";"Santa Cruz Is-SW Pac";"Solomon Is.";"Stratovolcano";"Historical";"3"
"1840";"Savo";"Solomon Is-SW Pacifi";"Solomon Is.";"Stratovolcano";"Historical";"3"
"1841";"Kuchinoerabu-jima";"Ryukyu Is";"Japan";"Stratovolcano";"Historical";"2"
"1843";"Liamuiga";"W Indies";"St. Kitts & Nevis";"Stratovolcano";"Radiocarbon";"0"
"1843";"Soufriere Guadeloupe";"W Indies";"Guadeloupe";"Stratovolcano";"Historical";""
"1843";"Lamongan";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1843";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";"2"
"1845";"Soputan";"Sulawesi-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
"1845";"Ruiz";"Colombia";"Colombia";"Stratovolcano";"Historical";"2"
"1845";"Hekla";"Iceland-S";"Iceland";"Stratovolcano";"Historical";"4"
"1846";"Tangkubanparahu";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1846";"E-san";"Hokkaido-Japan";"Japan";"Stratovolcano";"Historical";"1"
"1847";"Fogo";"Cape Verde Is";"Cape Verde";"Stratovolcano";"Historical";"2"
"1847";"Dieng Volc Complex";"Java";"Indonesia";"Complex volcano";"Historical";"2"
"1848";"Kelut";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1850";"Rabaul";"New Britain-SW Pac";"Papua New Guinea";"Pyroclastic shield";"Historical";"2"
"1853";"Niuafo'ou";"Tonga-SW Pacific";"Tonga";"Shield volcano";"Historical";"0"
"1853";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"3"
"1853";"Unnamed";"Taiwan-E of";"Taiwan";"Submarine volcano";"Historical";"2"
"1854";"Shiveluch";"Kamchatka";"Russia";"Stratovolcano";"Historical";"5"
"1854";"Aso";"Kyushu-Japan";"Japan";"Caldera";"Historical";"2"
"1856";"Awu";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"3"
"1856";"Shishaldin";"Aleutian Is";"United States";"Stratovolcano";"Historical";""
"1856";"Komaga-take";"Hokkaido-Japan";"Japan";"Stratovolcano";"Historical";"4"
"1857";"Umboi";"New Guinea-NE of";"Papua New Guinea";"Complex volcano";"Holocene";""
"1858";"Mayon";"Luzon-Philippines";"Philippines";"Stratovolcano";"Historical";"2"
"1860";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1860";"Fuego";"Guatemala";"Guatemala";"Stratovolcano";"Historical";"2"
"1861";"Dubbi";"Africa-NE";"Eritrea";"Stratovolcano";"Historical";"3"
"1861";"Grimsvotn";"Iceland-NE";"Iceland";"Caldera";"Historical";"2"
"1861";"Makian";"Halmahera-Indonesia";"Indonesia";"Stratovolcano";"Historical";"4"
"1863";"Yasur";"Vanuatu-SW Pacific";"Vanuatu";"Stratovolcano";"Historical";""
"1864";"Kelut";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1866";"Ofu-Olosega";"Samoa-SW Pacific";"United States";"Shield volcano";"Historical";"2"
"1867";"Zao";"Honshu-Japan";"Japan";"Complex volcano";"Historical";"2"
"1868";"Mauna Loa";"Hawaiian Is";"United States";"Shield volcano";"Historical";"2"
"1868";"Etna";"Italy";"Italy";"Stratovolcano";"Historical";""
"1869";"Lewotobi";"Lesser Sunda Is";"Indonesia";"Stratovolcano";"Historical";"2"
"1869";"Lamongan";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1870";"Ruang";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
"1870";"Iliwerung";"Lesser Sunda Is";"Indonesia";"Complex volcano";"Historical";"3"
"1870";"Aoba";"Vanuatu-SW Pacific";"Vanuatu";"Shield volcano";"Historical";"2"
"1871";"Ruang";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
